,Parent Entity,Total Views
0,Central Publicity Department,1227558251
1,State Council,1813325
2,Hong Kong Liaison Office of the Central Govern...,1371922
3,Office of the Cybersecurity and Information Te...,4863958
4,Zhejiang Provincial People's Government,153114
5,Bauhinia Culture Holdings Limited,112758
6,Shanghai Municipal Committee,16169313
7,Guangdong Provincial Committee,101369
8,unknown,9466
9,Central Publicity Department ,4334412
10,Fujian Provincial Committee,33989294
11,People's Liberation Army,7609
12,Jiangsu Provincial People's Government,177530
13,Shanxi Provincial People's Government,3446
14,Wuhan Municipal Committee,8875761
15,Yunnan Provincial Committee,12898375
